Title,Genre,Language,Year,Actors,Director
A Civil Action,Drama,en,1998,John Travolta Robert Duvall Tony Shalhoub William H. Macy Zeljko Ivanek,Steven Zaillian
Dragonslayer,Fantasy,en,1981,Peter MacNicol Caitlin Clarke Ralph Richardson John Hallam Peter Eyre,Matthew Robbins
Good Will Hunting,Drama,en,1997,Robin Williams Matt Damon Ben Affleck Stellan Skarsg\u00e5rd Minnie Driver,Gus Van Sant
The Painted Veil,Drama Romance,en,2006,Edward Norton Juliet Howland Naomi Watts Ian Renwick Liev Schreiber,John Curran
Cries and Whispers,Drama,sv,1972,Harriet Andersson Ingrid Thulin Kari Sylwan Liv Ullmann Erland Josephson,Ingmar Bergman
Beavis and Butt-Head Do America,Animation Comedy,en,1996,Mike Judge Bruce Willis Demi Moore Robert Stack Richard Linklater,Mike Judge
Big Fat Liar,Comedy Family,en,2002,Frankie Muniz Paul Giamatti Amanda Bynes Amanda Detmer Donald Faison,Shawn Levy
Dick,Comedy,en,1999,Kirsten Dunst Michelle Williams Will Ferrell Dan Hedaya Bruce McCulloch,Andrew Fleming
Home on the Range,Animation Family,en,2004,Roseanne Barr Judi Dench Jennifer Tilly Steve Buscemi G. W. Bailey,Will Finn
About Last Night,Comedy Romance,en,2014,Kevin Hart Michael Ealy Regina Hall Joy Bryant Christopher McDonald,Steve Pink
Pâfekuto burû,"Animation, Crime,  Drama",NAN,1997,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura",Satoshi Kon
Quills,Drama,en,2000,Geoffrey Rush Kate Winslet Joaquin Phoenix Michael Caine Billie Whitelaw,Philip Kaufman
Finishing The Game,Comedy,en,2007,Roger Fan Sung Kang Monique Gabriela Curnen Meredith Scott Lynn Sam Bottoms,Justin Lin
What Happens in Vegas,Comedy Romance,da,2008,Ashton Kutcher Cameron Diaz Lake Bell Queen Latifah Treat Williams,Tom Vaughan
A Christmas Carol,Animation Drama,en,2009,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
Toy Story 3,Animation Family Comedy,en,2010,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
Murderball,Documentary,en,2005,Joe Bishop Keith Cavill Andy Cohn Scott Hogsett Christopher Igoe,Henry Alex Rubin
Tower Heist,Action Comedy,en,2011,Ben Stiller Eddie Murphy Casey Affleck Alan Alda Matthew Broderick,Brett Ratner
Hollywood Ending,Comedy Drama,en,2002,Woody Allen George Hamilton T\u00e9a Leoni Debra Messing Mark Rydell,Woody Allen
Critical Care,Comedy Drama,en,1997,James Spader Kyra Sedgwick Helen Mirren Albert Brooks Anne Bancroft,Sidney Lumet
Goodfellas,"Biography, Crime,  Drama",NAN,1990,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",Martin Scorsese
The Cry of the Owl,Drama,en,2009,Paddy Considine Julia Stiles Caroline Dhavernas James Gilbert Karl Pruner,Jamie Thraves
Crying with Laughter,Comedy Drama Thriller,en,2009,Stephen McCole Malcolm Shields Andrew Neil Jo Hartley,Justin Molotnikov
5 Days of War,War Drama,en,2011,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,Renny Harlin
The Color Purple,Drama,en,1985,Whoopi Goldberg Margaret Avery Danny Glover Akosua Busia Oprah Winfrey,Steven Spielberg
Cloudy with a Chance of Meatballs 2,Animation Family Comedy,en,2013,Bill Hader Anna Faris James Caan Will Forte Andy Samberg,Cody Cameron
The Rocky Horror Picture Show,"Comedy, Horror,  Musical",NAN,1975,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien",Jim Sharman
The Dangerous Lives of Altar Boys,Comedy Drama,en,2002,Emile Hirsch Kieran Culkin Jodie Foster Vincent D'Onofrio Jena Malone,Peter Care
The Postman,Drama Adventure,en,1997,Kevin Costner Will Patton Olivia Williams Larenz Tate Tom Petty,Kevin Costner
Not Cool,Comedy,en,2014,Shane Dawson Cherami Leigh Drew Monson Michelle Veintimilla Lisa Schwartz,Shane Dawson
Collide,"Action,Crime,Thriller",NAN,2016,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",Eran Creevy
A Dog Of Flanders,Drama Family,en,1999,Jack Warden Jeremy James Kissner Jesse James Jon Voight Cheryl Ladd,Kevin Brodie
God's Not Dead 2,Drama,en,2016,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe David A.R. White Ray Wise,Harold Cronk
The Big Bounce,Comedy Crime,en,2004,Owen Wilson Morgan Freeman Gary Sinise Sara Foster Willie Nelson,George Armitage
Pooh's Heffalump Movie,Animation Family,en,2005,Jim Cummings John Fiedler Nikita Hopkins Kath Soucie Ken Sansom,Frank Nissen
Exotica,Drama Mystery,en,1994,Bruce Greenwood Mia Kirshner Elias Koteas Don McKellar Sarah Polley,Atom Egoyan
She's Out of My League,Comedy Romance,en,2010,Alice Eve Jay Baruchel Mike Vogel Krysten Ritter Debra Jo Rupp,Jim Field Smith
Nine Lives,"Comedy,Family,Fantasy",NAN,2016,"Kevin Spacey, Jennifer Garner, Robbie Amell,Cheryl Hines",Barry Sonnenfeld
Bloodsport,Action,en,1988,Jean-Claude Van Damme Bolo Yeung Roy Chiao Philip Chan Yan-Kin Donald Gibb,Newt Arnold
Hannibal Rising,Crime Drama Thriller,en,2007,Gaspard Ulliel Aaran Thomas Gong Li Dominic West Rhys Ifans,Peter Webber
Friend Request,"Horror,Thriller",NAN,2016,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",Simon Verhoeven
Be Kind Rewind,Drama Comedy,en,2008,Jack Black Yasiin Bey Danny Glover Mia Farrow Marcus Carl Franklin,Michel Gondry
Our Idiot Brother,Comedy Drama,en,2011,Paul Rudd Elizabeth Banks Zooey Deschanel Emily Mortimer Adam Scott,Jesse Peretz
The Bucket List,Drama Comedy,en,2007,Jack Nicholson Morgan Freeman Sean Hayes Beverly Todd Alfonso Freeman,Rob Reiner
White Chicks,Comedy,en,2004,Shawn Wayans Marlon Wayans Jaime King Frankie Faison Maitland Ward,Keenen Ivory Wayans
Blended,Comedy,en,2014,Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews,Frank Coraci
In the Bedroom,Drama Thriller,en,2001,Tom Wilkinson Sissy Spacek Nick Stahl Marisa Tomei William Mapother,Todd Field
April Fool's Day,Horror Mystery,en,1986,Deborah Foreman Thomas F. Wilson Lloyd Berry Tom Heaton Ken Olandt,Fred Walton
Spectral,"Action,Mystery,Sci-Fi",NAN,2016,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini",Nic Mathieu
Monster-in-Law,Romance Comedy,en,2005,Jennifer Lopez Jane Fonda Michael Vartan Wanda Sykes Adam Scott,Robert Luketic
Slums of Beverly Hills,Comedy Drama,en,1998,Natasha Lyonne Alan Arkin Marisa Tomei Eli Marienthal Mena Suvari,Tamara Jenkins
Mallrats,Romance Comedy,en,1995,Jason Lee Jeremy London Shannen Doherty Claire Forlani Ben Affleck,Kevin Smith
Imperium,"Crime,Drama,Thriller",NAN,2016,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",Daniel Ragussis
Saving Silverman,Comedy Crime Romance,en,2001,Jason Biggs Steve Zahn Jack Black Amanda Peet Amanda Detmer,Dennis Dugan
My All American,Drama,en,2015,Aaron Eckhart Finn Wittrock Robin Tunney Sarah Bolger Michael Reilly Burke,Angelo Pizzo
Lolita,Drama Romance,en,1962,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick
Nowhere in Africa,Drama,de,2001,Juliane K\u00f6hler Merab Ninidze Sidede Onyulo Matthias Habich Lea Kurka,Caroline Link
The Final Destination,Horror Mystery,en,2009,Bobby Campo Shantel VanSanten Nick Zano Haley Webb Krista Allen,David R. Ellis
Blue Ruin,Crime Thriller,en,2014,Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack Eve Plumb,Jeremy Saulnier
Julia,Drama,en,1977,Jane Fonda Vanessa Redgrave Jason Robards Maximilian Schell Hal Holbrook,Fred Zinnemann
The Siege of Jadotville,"Action,Drama,Thriller",NAN,2016,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton",Richie Smyth
Inosensu: Innocence,"Animation, Drama,  Mystery",NAN,2004,"Akio Ôtsuka, Atsuko Tanaka, Tamio Ôki, Kôichi Yamadera",Mamoru Oshii
Bathory: Countess of Blood,Drama Fantasy,en,2008,Anna Friel Karel Roden Hans Matheson Vincent Regan Franco Nero,Juraj Jakubisko
Pineapple Express,Action Comedy,en,2008,Seth Rogen James Franco Danny McBride Gary Cole Rosie Perez,David Gordon Green
The Upside of Anger,Comedy Drama,en,2005,Joan Allen Kevin Costner Erika Christensen Keri Russell Alicia Witt,Mike Binder
For Colored Girls,Drama,en,2010,Kimberly Elise Janet Jackson Loretta Devine Thandie Newton Anika Noni Rose,Tyler Perry
The Helpers,Horror,en,2012,Kristen Quintrall Denyce Lawton JoJo Wright Rachel Sterling Black Thomas,Chris Stokes
Bodyguards and Assassins,Drama Action History,cn,2009,Donnie Yen Wang Xue-qi Tony Leung Ka-Fai Nicholas Tse Hu Jun,Teddy Chan
De-Lovely,Drama Music,en,2004,Kevin Kline Ashley Judd Jonathan Pryce Kevin McNally Sandra Nelson,Irwin Winkler
Diner,Comedy Drama,en,1982,Steve Guttenberg Daniel Stern Mickey Rourke Kevin Bacon Tim Daly,Barry Levinson
Beverly Hills Cop II,Action Comedy Crime,en,1987,Eddie Murphy Judge Reinhold John Ashton Ronny Cox Paul Reiser,Tony Scott
Here On Earth,Romance,en,2000,Leelee Sobieski Chris Klein Josh Hartnett Michael Rooker Annie Corley,Mark Piznarski
Win a Date with Tad Hamilton!,Comedy Romance,en,2004,Josh Duhamel Kate Bosworth Topher Grace Nathan Lane Sean Hayes,Robert Luketic
Four Lions,Comedy Crime Drama,en,2010,Riz Ahmed Nigel Lindsay Kayvan Novak Adeel Akhtar Arsher Ali,Chris Morris
Legion,"Action,Fantasy,Horror",NAN,2010,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black",Scott Stewart
Chain of Command,Thriller Adventure Action,en,2015,Michael Jai White Steve Austin Max Ryan Allen Yates,Kevin Carraway
Deepwater Horizon,"Action,Drama,Thriller",NAN,2016,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",Peter Berg
The Treasure of the Sierra Madre,"Adventure, Drama,  Western",NAN,1948,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",John Huston
Kal Hee,"Animation, Drama,  Romance",NAN,1991,"Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka",Isao Takahata
Before I Go to Sleep,Mystery Thriller,en,2014,Nicole Kidman Colin Firth Mark Strong Anne-Marie Duff Jing Lusi,Rowan Joffe
2:13,Horror Thriller Mystery,en,2009,Mark Thompson Mark Pellegrino Teri Polo Kevin Pollak,Charles Adelman
Snow White: A Tale of Terror,Fantasy Horror,en,1997,Sigourney Weaver Sam Neill Monica Keena Gil Bellows Brian Glover,Michael Cohn
St. Vincent,Comedy,en,2014,Bill Murray Melissa McCarthy Naomi Watts Jaeden Lieberher Chris O'Dowd,Theodore Melfi
Knockaround Guys,Crime Thriller,en,2001,Barry Pepper Andy Davoli Seth Green Vin Diesel John Malkovich,Brian Koppelman
Airplane!,Comedy,en,1980,Robert Hays Julie Hagerty Kareem Abdul-Jabbar Lloyd Bridges Peter Graves,Jerry Zucker
My Sister's Keeper,Drama,en,2009,Cameron Diaz Alec Baldwin Abigail Breslin Joan Cusack Sofia Vassilieva,Nick Cassavetes
Shichinin no samurai,"Action, Drama",NAN,1954,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",Akira Kurosawa
Child's Play 2,Drama Horror,en,1990,Alex Vincent Jenny Agutter Gerrit Graham Christine Elise Brad Dourif,John Lafia
"Batman: The Dark Knight Returns, Part 2",Action Animation,en,2013,Peter Weller Ariel Winter David Selby Michael Emerson Mark Valley,Jay Oliva
What Just Happened,Comedy Drama,en,2008,Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci,Barry Levinson
Fifty Shades of Black,Romance Comedy,en,2016,Marlon Wayans Kali Hawk Fred Willard Mike Epps Affion Crockett,Michael Tiddes
Faithful,Comedy Crime Drama,en,1996,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,Paul Mazursky
Queen of Katwe,"Biography,Drama,Sport",NAN,2016,"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza",Mira Nair
"Bright Lights, Big City",Drama,en,1988,Michael J. Fox Kiefer Sutherland Phoebe Cates Jason Robards Dianne Wiest,James Bridges
School of Rock,Comedy Music,en,2003,Jack Black Joan Cusack Mike White Sarah Silverman Adam Pascal,Richard Linklater
Splash,Comedy Fantasy Romance,en,1984,Tom Hanks Daryl Hannah Eugene Levy John Candy Dody Goodman,Ron Howard
Without Limits,Drama,en,1998,Billy Crudup Donald Sutherland Monica Potter Jeremy Sisto Matthew Lillard,Robert Towne
GoodFellas,Drama Crime,en,1990,Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco Paul Sorvino,Martin Scorsese
Animals,Drama,en,2014,David Dastmalchian Kim Shaw John Heard John Hoogenakker Shon McGregory,Collin Schiffli
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi",NAN,2007,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",Colin Strause
Capitalism: A Love Story,Documentary,en,2009,Michael Moore Thora Birch William Black Elijah Cummings Baron Hill,Michael Moore
Mrs Henderson Presents,Comedy Drama,en,2005,Judi Dench Bob Hoskins Will Young Christopher Guest Kelly Reilly,Stephen Frears
The Wailing,Horror Mystery,ko,2016,Kwak Do-won Hwang Jung-min Chun Woo-hee Jun Kunimura Kim Hwan-hee,Na Hong-jin
The Fog,Horror,en,1980,Adrienne Barbeau Jamie Lee Curtis Janet Leigh John Houseman Tom Atkins,John Carpenter
Anomalisa,Animation Comedy Drama Romance,en,2015,David Thewlis Jennifer Jason Leigh Tom Noonan,Charlie Kaufman
Annie Hall,Comedy Drama Romance,en,1977,Woody Allen Diane Keaton Tony Roberts Carol Kane Paul Simon,Woody Allen
Wild Target,Action Comedy,en,2010,Bill Nighy Emily Blunt Rupert Grint Rupert Everett Eileen Atkins,Jonathan Lynn
The Game of Their Lives,Drama,en,2005,Gerard Butler Wes Bentley Gavin Rossdale Costas Mandylor Louis Mandylor,David Anspaugh
The Maltese Falcon,"Crime, Film-Noir,  Mystery",NAN,1941,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre",John Huston
My Dog Skip,Comedy Drama Family,en,2000,Frankie Muniz Diane Lane Kevin Bacon Luke Wilson Chaon Cross,Jay Russell
The Karate Kid,"Action, Drama,  Family",NAN,1984,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove",John G. Avildsen
Crash,Drama,en,2004,Sandra Bullock Don Cheadle Matt Dillon Michael Pe\u00f1a Jennifer Esposito,Paul Haggis
Selena,Drama,en,1997,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava
Eve's Bayou,Drama,en,1997,Jurnee Smollett Meagan Good Lynn Whitfield Samuel L. Jackson Debbi Morgan,Kasi Lemmons
Twins,Comedy,en,1988,Arnold Schwarzenegger Danny DeVito Kelly Preston Chloe Webb David Caruso,Ivan Reitman
Beyond the Gates,"Adventure,Horror",NAN,2016,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",Jackson Stewart
Major League,Comedy,en,1989,Tom Berenger Charlie Sheen Corbin Bernsen Margaret Whitton James Gammon,David S. Ward
Things We Lost in the Fire,Drama,en,2007,Halle Berry Benicio del Toro David Duchovny Alison Lohman Sarah Dubrovsky,Susanne Bier
I Hope They Serve Beer in Hell,Comedy Drama,en,2009,Matt Czuchry Jesse Bradford Marika Dominczyk Traci Lords Geoff Stults,Bob Gosse
Parental Guidance,Comedy,en,2012,Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee Madison,Andy Fickman
Psycho Beach Party,Comedy,en,2000,Lauren Ambrose Nicholas Brendon Amy Adams Charles Busch Thomas Gibson,Robert Lee King
Let's Kill Ward's Wife,Comedy,en,2014,Patrick Wilson Scott Foley Amy Acker Donald Faison Dagmara Domi\u0144czyk,Scott Foley
The Young Messiah,Drama,en,2016,Adam Greaves-Neal Sara Lazzaro Vincent Walsh Sean Bean Jonathan Bailey,Cyrus Nowrasteh
Bad Moms,Comedy,en,2016,Mila Kunis Kristen Bell Kathryn Hahn Christina Applegate Jada Pinkett Smith,Jon Lucas
When Harry Met Sally...,Comedy Romance Drama,en,1989,Meg Ryan Billy Crystal Carrie Fisher Bruno Kirby Steven Ford,Rob Reiner
The Adventures of Elmo in Grouchland,Family,en,1999,Kevin Clash Mandy Patinkin Vanessa Williams Sonia Manzano Roscoe Orman,Gary Halvorson
Bad Words,Comedy,en,2013,Jason Bateman Kathryn Hahn Rohan Chand Philip Baker Hall Allison Janney,Jason Bateman
Glory,War,en,1989,Matthew Broderick Denzel Washington Cary Elwes Morgan Freeman Jihmi Kennedy,Edward Zwick
The Black Stallion,Adventure Family,en,1979,Kelly Reno Mickey Rooney Teri Garr Clarence Muse Hoyt Axton,Carroll Ballard
The Evil Dead,Horror,en,1981,Bruce Campbell Ellen Sandweiss Richard DeManincor Betsy Baker Theresa Tilly,Sam Raimi
Mandela: Long Walk to Freedom,Drama History,en,2013,Idris Elba Naomie Harris Tony Kgoroge Riaad Moosa Fana Mokoena,Justin Chadwick
Saving Private Ryan,Drama History War,en,1998,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
The Reader,Drama Romance,en,2008,Kate Winslet Ralph Fiennes David Kross Jeanette Hain Bruno Ganz,Stephen Daldry
Blades of Glory,Action Comedy Drama,en,2007,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
Criminal,Action,en,2016,Kevin Costner Gary Oldman Tommy Lee Jones Ryan Reynolds Jordi Moll\u00e0,Ariel Vromen
Martha Marcy May Marlene,Drama Thriller,en,2011,Elizabeth Olsen Hugh Dancy John Hawkes Sarah Paulson Brady Corbet,Sean Durkin
Fast & Furious,"Action,Crime,Thriller",NAN,2009,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",Justin Lin
The Ballad of Jack and Rose,Drama,en,2005,Daniel Day-Lewis Camilla Belle Catherine Keener Ryan McDonald Paul Dano,Rebecca Miller
The To Do List,Comedy Romance,en,2013,Aubrey Plaza Johnny Simmons Bill Hader Alia Shawkat Sarah Steele,Maggie Carey
Chain Letter,Horror Thriller,en,2010,Nikki Reed Keith David Brad Dourif Betsy Russell Cherilyn Wilson,Deon Taylor
Old Boy,"Action,Drama,Mystery",NAN,2013,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",Spike Lee
Christmas with the Kranks,Comedy Family,en,2004,Tim Allen Jamie Lee Curtis Dan Aykroyd M. Emmet Walsh Elizabeth Franz,Joe Roth
La La Land,"Comedy, Drama,  Music",NAN,2016,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",Damien Chazelle
I Want Someone to Eat Cheese With,Comedy Romance,en,2006,Jeff Garlin Sarah Silverman Bonnie Hunt Elle Fanning Jessy Schram,Jeff Garlin
Hercules,Action Adventure,en,2014,Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie,Brett Ratner
Iron Man Three,"Action,Adventure,Sci-Fi",NAN,2013,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle",Shane Black
Coach Carter,Drama,en,2005,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,Thomas Carter
Pieces of April,Comedy Drama,en,2003,Katie Holmes Derek Luke Patricia Clarkson Oliver Platt Alison Pill,Peter Hedges
An American in Hollywood,NAN,en,2014,J.D. Williams Hassan Johnson Anil Raman Richard Carroll Jr. Richard Carroll Jr.,Sai Varadan
Fruitvale Station,Drama,en,2013,Michael B. Jordan Octavia Spencer Melonie Diaz Ahna O'Reilly Kevin Durand,Ryan Coogler
Renaissance Man,Comedy War,en,1994,Danny DeVito Mark Wahlberg Gregory Hines James Remar Ed Begley Jr.,Penny Marshall
Gentleman's Agreement,Drama Romance,en,1947,Gregory Peck Dorothy McGuire John Garfield Celeste Holm Anne Revere,Elia Kazan
Män som hatar kvinnor,"Drama,Mystery,Thriller",NAN,2009,"Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre",Niels Arden Oplev
Lesbian Vampire Killers,Horror Comedy,en,2009,James Corden Mathew Horne Paul McGann MyAnna Buring Vera Filatova,Phil Claydon
The Escort,"Comedy,Drama,Romance",NAN,2016,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell",Will Slocombe
Ruby in Paradise,Drama Romance,en,1993,Ashley Judd Todd Field Bentley Mitchum Dorothy Lyman Allison Dean,Victor Nunez
Secretariat,Drama,en,2010,Diane Lane John Malkovich Scott Glenn Dylan Walsh Fred Dalton Thompson,Randall Wallace
Viral,"Drama,Horror,Sci-Fi",NAN,2016,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly",Henry Joost
Black Rock,Thriller Horror,en,2012,Kate Bosworth Lake Bell Jay Paulson Katie Aselton Will Bouvier,Katie Aselton
American Beast,Horror,pt,2014,Armin Habibovich Victoria Lachelle Livingston Oden Taylor Scott Olson,Livingston Oden
Do You Believe?,Fantasy Drama,en,2015,Mira Sorvino Sean Astin Alexa PenaVega Cybill Shepherd Brian Bosworth,Jon Gunn
The Angry Birds Movie,Family Animation,en,2016,Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader,Fergal Reilly
The Calling,Thriller,en,2014,Susan Sarandon Gil Bellows Ellen Burstyn Topher Grace Donald Sutherland,Jason Stone
21 Jump Street,Action Comedy Crime,en,2012,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Phil Lord
Aqua Teen Hunger Force Colon Movie Film for Theaters,Animation Comedy,en,2007,Dana Snyder Carey Means Dave Willis Andy Merrill Bruce Campbell,Dave Willis
Next Day Air,Action Comedy Crime,en,2009,Donald Faison Mike Epps Wood Harris Omari Hardwick Yasiin Bey,Benny Boom
Bahubali: The Beginning,"Action,Adventure,Drama",NAN,2015,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",S.S. Rajamouli
From a Whisper to a Scream,Comedy Horror,en,1987,Vincent Price Clu Gulager Terry Kiser Rosalind Cash Cameron Mitchell,Jeff Burr
The Dog Lover,Drama,en,2016,Allison Paige James Remar Lea Thompson Jayson Blair Sherry Stringfield,Alex Ranarivelo
Hacksaw Ridge,"Biography,Drama,History",NAN,2016,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",Mel Gibson
The Legend of Bagger Vance,Fantasy Drama,en,2000,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,Robert Redford
